"Net","Regist","anillador","Codigo","No_anillo","No_anillo.","Anillo.color","Codigo.especie","FAMILY","Genus","species","spp","Edad","Codigo.fechado","SEXO..M.H.D.","Codigo.Sexado","SEX.MOLEC","MUSCULO","PROCLO","PARINC","GRASA","MUDA.CORP","MUDA.VUEL","MUDA.COLA","DESG.VUEL","PLUMJUV","ALA","COLA","CULMEN","APERTURA","TARSO","PESO","COJO","CPIEL","CPATAS","ECTOPARASITO","SANGRE","H1","H2","H3","H4","RED","FECHA","Year.x","ECTO.ROJO","Dondectos","Cuantosectos","OBSERVACIONES","CREST","Specific.Habitat","general.habitat","Field.Site","REGION","PATCH.SIZE","Netline","Foragero","SAMPLE.NUMBER","Categories","lon","lat","ele","Net.number","Year.y"
"1_Arcilloso 1_2009","467","SC","N","6682","6682#","#NAME?","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus",NA,"-","D","-","","-","N","A","N","N","N","N","I","-","64","63","8.9","15.5","15.4","13.4","Mo","G","G","1","1","1","1","4","5","1","6-Jul-09",2009,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-SI-B","","",-73.42771227,-3.9765161,147.2064209,"1",2009
"1_Arcilloso 1_2009","411","PS","N","6655","6655#","#NAME?","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata",NA,"-","M","P","","-","N","N","N","N","N","N","I","-","60","27","6.5","12.9","13.7","7.3","R","Go","Go","1","-","1","0","2","5","1","5-Jul-09",2009,"","","","no sangre",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-FR-F","","QUIESCENT",-73.42771227,-3.9765161,147.2064209,"1",2009
"1_Arcilloso 1_2012","7224","JU","X","-","-#","-","THLC","TROCHILIDAE ","Threnetes","leucurus","Threnetes leucurus","A","B","D","-","","1","N","N","-","N","N","N","I","-","55","32","27.3","32.8","-","5.91","Mo","N","D","-","-","1","0","3","4","1","29-Aug-12",2012,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-NI-F","","QUIESCENT",-73.42767245,-3.976552226,146.0048828,"1",2012
"1_Arcilloso 1_2012","7243","OT","N","J00713","J00713#","-","PYAL","THAMNOPHILIDAE ","Pithys","albifrons","Pithys albifrons","A","P","D","-","","4","N","N","N","A","N","N","A","N","65","45","9.9","17.9","21.4","19.57","Mo","N","J","1","1","1","4","1","0","1","29-Aug-12",2012,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-LI-R","","MOLTER",-73.42767245,-3.976552226,146.0048828,"1",2012
"1_Arcilloso 1_2012","7301","SPC","X","-","-#","IR4","PHBO","TROCHILIDAE ","Phaetornis","bourcieri","Phaetornis bourcieri","A","-","D","-","","1","N","N","N","N","N","N","I","-","59","64","26.2","34","-","4.48","Mo","G","D","-","-","1","2","3","7","1","30-Aug-12",2012,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-NI-F","","QUIESCENT",-73.42767245,-3.976552226,146.0048828,"1",2012
"1_Arcilloso 2_2009","888","MT","N","6850","6850#","-RC","MAMA","PIPRIDAE","Manacus","manacus","Manacus manacus",NA,"B","H","-","","2","N","N","N","N","N","N","I","J","52","32","6","14.2","20","14.95","Mo","G","J","1","1","0","7","0","3","1","13-Aug-09",2009,"","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-FR-F","","QUIESCENT",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","957","PS","N","6892","6892#","LB","HYOC","VIREONIDAE","Hylophilus","ochraceiceps","Hylophilus ochraceiceps",NA,"-","D","-","","-","G","A","F","N","N","N","I","-","56","39","9","16.5","16.1","11.38","Gc","G","G","1","1","0","9","2","0","1","26-Aug-09",2009,"","","","",NA,"terra firme","clay","Maderables","KM 28","","Arcilloso 2","U-SI-F","","BREEDER",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","874","AR","N","6837","6837#","#NAME?","MIOL","TYRANNIDAE ","Mionectes","oleagineus","Mionectes oleagineus",NA,"-","D","-","","2","N","P","F","N","N","N","I","-","58","45","8","15.1","14.5","9.95","Mo","G","Gc","1","1","1","2","3","3","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-SO-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1021","SC","N","2976","2976#","#NAME?","GYLE","THAMNOPHILIDAE ","Gymnopithys","leucaspis","Gymnopithys leucaspis",NA,"-","M","P","","3","N","A","N","N","A","N","I","-","74","45","11.1","21.7","26.2","29.15","Mo","C","G","1","1","1","4","0","0","1","28-Aug-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 4","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1992","PS","N","J00008","J00008#","#NAME?","GYLE","THAMNOPHILIDAE ","Gymnopithys","leucaspis","Gymnopithys leucaspis",NA,"-","M","P","","3","N","P","I","N","N","N","L","-","74","46","12.2","22.5","26.5","24.85","Mc","NB","G","1","2","0","9","4","7","1","4-Dec-09",2009,"","","","",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","2023","SC","P","-","-#","-","HEAU","TROCHILIDAE ","Heliodoxa","aurescens","Heliodoxa aurescens",NA,"-",NA,"-","","-","-","-","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","5-Dec-09",2009,"","","","pico flÊcido",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-NI-F","","MOLTER",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1870","PS","AS","994","0994#","#NAME?","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"-","M","P","","-","-","-","-","-","S","-","-","-","-","-","-","-","-","17.3","-","-","-","-","-","0","8","3","9","1","30-Nov-09",2009,"","","","ver 799",NA,"terra firme","clay","Arcilloso 2_2","KM 28","","Arcilloso 2","S-LI-R","","MOLTER",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1964","MT","N","J00006","J00006#","NRD","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"B","H","P","","3","N","P","I","L","N","N","I","-","65","45","9.8","20","21.5","17","M","G","G","1","1","1","0","3","2","1","3-Dec-09",2009,"","","","POOP, 1 TICK ON HEAD",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1990","MT","N","N00017","N00017#","#NAME?","GYLE","THAMNOPHILIDAE ","Gymnopithys","leucaspis","Gymnopithys leucaspis",NA,"-","H","P","","3","N","P","I","N","N","N","L","-","73","47","10.8","21","26","23.71","M","Bn","G","1","2","0","8","5","8","1","4-Dec-09",2009,"","","","",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","915","PS","N","6869","6869#","C--","MYMY","THAMNOPHILIDAE ","Myrmoborus","myotherinus","Myrmoborus myotherinus",NA,"-","H","P","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","25-Aug-09",2009,"","","","Pata dislocada",NA,"terra firme","clay","Maderables","KM 28","","Arcilloso 2","S-SI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1963","AR","ASO","938","0938#","#NAME?","MYMY","THAMNOPHILIDAE ","Myrmoborus","myotherinus","Myrmoborus myotherinus",NA,"-","H","P","","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1","3-Dec-09",2009,"4(5) furcula","","","",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-SI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1910","AR","R","J00002","J00002#","#NAME?","GYLE","THAMNOPHILIDAE ","Gymnopithys","leucaspis","Gymnopithys leucaspis",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1-Dec-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 2_2","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","857","MT","N","2962","2962#","#NAME?","FOCO","FORMICARIIDAE ","Formicarius","colma","Formicarius colma",NA,"-","D","-","","3","P","N","N","M","A","I","I","-","97","48","12.2","22.5","31.5","50.85","Mo","N","N","1","1","1","1","4","2","1","19-Jul-09",2009,"CHIGGERS BREAST","BREAST","","IS7",NA,"terra firme","clay","Arcilloso 2","KM 28","","Arcilloso 2","G-LI-G","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","800","PS","R","986","0986#","-","NOBR","BUCCONIDAE ","Nonnula","brunnea","Nonnula brunnea",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","18-Jul-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","","Arcilloso 2","S-LI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1969","PS","N","J00007","J00007#","#NAME?","MYMY","THAMNOPHILIDAE ","Myrmoborus","myotherinus","Myrmoborus myotherinus",NA,"B","M","P","","3","N","N","F","M","N","N","I","-","60","38","10.5","20.9","25","19.47","Mc","N","G","1","2","1","2","2","2","1","3-Dec-09",2009,"1(5) furcula","","","",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-SI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","869","PS","N","6833","6833#","NDR","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus",NA,"-","D","-","","5","N","P","G","N","N","N","M","-","67","56","9.2","16.1","15.6","14.3","M","G","G","1","1","1","0","3","9","1","12-Aug-09",2009,"3(5)colaca","CLOACA","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-SI-B","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1948","AR","R","2121","2121#","-","GAAL","GALBULIDAE","Galbula","albirostris","Galbula albirostris",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1-Dec-09",2009,"","","","DIED, muerto",NA,"terra firme","clay","Arcilloso 2_2","KM 28","","Arcilloso 2","U-LI-A","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","925","AR","N","6877","6877#","LD","MYAX","THAMNOPHILIDAE ","Myrmotherula","axillaris","Myrmotherula axillaris",NA,"-","H","P","","4","N","V","N","N","N","N","I","-","54","36","10","16.7","16","10.6","Mo","G","Gc","1","1","1","0","0","7","1","25-Aug-09",2009,"","","","",NA,"terra firme","clay","Maderables","KM 28","","Arcilloso 2","U-SI-F","","BREEDER",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1869","MT","N","E00001","E00001#","NRL","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"-","H","P","","3","N","P","I","M","A","M","I","-","65","42","8.5","20.6","23.4","17.34","M","G","G","1","1","0","8","2","6","1","30-Nov-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 2_2","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1947","MT","ASO","971","0971#","#NAME?","XIEL","DENDROCOLAPTIDAE","Xiphorhynchus","elegans","Xiphorhynchus elegans",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1-Dec-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 2_2","KM 28","","Arcilloso 2","U-SI-B","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1954","MT","N","A00016","A00016#","NBN","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata",NA,"-","H","P","","3","N","A","I","N","N","N","I","-","57","28","5.9","11.6","12.8","10.32","M","G","G","1","2","0","9","2","7","1","2-Dec-09",2009,"1 cloaca","","","",NA,"terra firme","clay","Arcilloso 2_2","KM 28","","Arcilloso 2","S-FR-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","900","MT","N","6860","6860#","NBB","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus",NA,"-","D","P","","3","N","N","N","M","A","L","I","-","72","74","9","15.5","17.4","14.15","M","G","G","1","1","0","7","0","8","1","14-Aug-09",2009,"","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-SI-B","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","935","PS","N","719","0719#","-","NOBR","BUCCONIDAE ","Nonnula","brunnea","Nonnula brunnea",NA,"-","D","-","","5","N","N","I","M","N","N","I","-","62","55","17.7","27.8","14.7","16.4","M","D","G","1","1","1","2","5","2","1","25-Aug-09",2009,"","","","",NA,"terra firme","clay","Maderables","KM 28","","Arcilloso 2","S-LI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","905","AR","X","-","-#","D-R1-2","PHSU","TROCHILIDAE ","Phaetornis","superciliosus","Phaetornis superciliosus",NA,"-","D","-","","-","N","P","N","N","N","I","-","-","63","68","35.5","40.9","-","-","Mo","G","D","-","-","-","-","-","-","1","14-Aug-09",2009,"","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-NI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","2009","MT","N","A00022","A00022#","L-LL","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus",NA,"-","D","-","","4","N","M","N","N","N","N","I","-","68","70","8","15.2","15.7","12.48","M","G","G","1","1","1","5","4","9","1","4-Dec-09",2009,"","","","",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-SI-B","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1996","MT","N","E00023","E00023#","#NAME?","TASU","THRAUPIDAE","Tachyphonus","surinamus","Tachyphonus surinamus",NA,"-","H","P","","3","N","P","N","L","N","I","I","-","76","66","9.9","16.6","16.4","18.62","M","N","G","1","2","1","1","5","8","1","4-Dec-09",2009,"","","","",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","U-SO-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","864","SC","X","-","-#","I-R5","PHSU","TROCHILIDAE ","Phaetornis","superciliosus","Phaetornis superciliosus",NA,"-","D","-","","1","N","N","N","L","N","N","I","-","62","-","36.6","44.2","-","6.35","M","G","Do","-","-","0","8","1","8","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-NI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","875","MT","N","6838","6838#","#NAME?","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata",NA,"-","D","-","","2","N","P","N","M","N","N","L","-","56","25","6.2","13.4","14.2","9.65","M","G","Go","1","1","1","2","3","0","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-FR-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","813","AR","N","998","0998#","#NAME?","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"-","H","P","","4","N","V","N","I","N","N","M","-","65","45","11.3","20.6","22.7","19.45","Mo","GC","GC","1","1","0","9","1","9","1","18-Jul-09",2009,"4cloaca, 1cola","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","","Arcilloso 2","S-LI-R","","BREEDER",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","870","AR","N","6832","6832#","#NAME?","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata",NA,"-","D","-","","2","N","N","N","I","N","N","I","-","57","25","6","14.4","12.2","9.15","Ro","G","Go","1","1","1","0","3","6","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-FR-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1016","SC","N","744","0744#","NBB","DIPI","PIPRIDAE","Dixiphia","pipra","Dixiphia pipra",NA,"-","D","-","","2","N","A","I","N","N","N","I","-","62","27","6.5","12.9","14.3","12.35","J","G","N","1","1","1","0","3","0","1","28-Aug-09",2009,"","","","POOP",NA,"terra firme","clay","Arcilloso 4","KM 28","","Arcilloso 2","S-FR-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","865","AR","X","-","-#","I-R5-3","PHSU","TROCHILIDAE ","Phaetornis","superciliosus","Phaetornis superciliosus",NA,"-","D","-","","3","N","P","N","L","N","N","I","-","62","68","38.7","47.2","-","6.75","Mo","Go","D","-","-","0","8","2","3","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-NI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","984","SC","N","6900","6900#","CB","MYAX","THAMNOPHILIDAE ","Myrmotherula","axillaris","Myrmotherula axillaris",NA,"-","M","P","","2","N","A","N","N","N","N","L","-","55","36","8.9","16.9","16.8","8.35","Mo","Gc","Gc","1","-","0","8","0","2","1","27-Aug-09",2009,"","","","",NA,"terra firme","clay","Maderables","KM 28","","Arcilloso 2","U-SI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","878","SC","N","6841","6841#","#NAME?","MIOL","TYRANNIDAE ","Mionectes","oleagineus","Mionectes oleagineus",NA,"-","D","-","","2","N","N","N","N","N","N","I","-","54","40","7.4","15.6","16","10.15","Mo","G","G","1","-","1","3","2","8","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-SO-F","","QUIESCENT",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","863","PS","X","-","-#","D-R5-2","PHSU","TROCHILIDAE ","Phaetornis","superciliosus","Phaetornis superciliosus",NA,"-","D","-","","1","N","N","N","I","N","N","I","-","64","62","38.2","47.7","-","7.45","M","G","Do","-","-","-","-","-","-","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-NI-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 5_2009","V1386","AR","N","L","L#","#NAME?","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata",NA,"-","M","P","","2","N","M","N","N","N","N","I","-","59","29","6.5","12.4","14.5","7.8","Ro","N","N","1","2","1","0","3","0","1","9-Oct-09",2009,"","","","",NA,"terra firme","clay","Arci 5","KM 28","","Arcilloso 5","S-FR-F","","",-73.43173498,-3.952597268,NA,"1",2009
"1_Arcilloso 5_2009","V1428","AR","N","2826","2826#","#NAME?","CNSU","TYRANNIDAE ","Cnipodectes","subbrunneus","Cnipodectes subbrunneus",NA,"-","H","-","","2","N","N","N","M","S","N","I","-","69","68","9.8","20.5","17.4","20.6","Jo","G","Gc","1","2","0","9","0","6","1","10-Oct-09",2009,"","","","",NA,"terra firme","clay","Arci 5","KM 28","","Arcilloso 5","C-SI-F","","MOLTER",-73.43173498,-3.952597268,NA,"1",2009
"1_Arcilloso 5_2009","V1400","SC","R","2999","2999#","N-RB","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"-","H","P","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","9-Oct-09",2009,"","","","",NA,"terra firme","clay","Arci 5","KM 28","","Arcilloso 5","S-LI-R","","",-73.43173498,-3.952597268,NA,"1",2009
"1_Arcilloso 5_2009","V1380","AR","N","2999","2999#","N-RB","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"-","H","P","","3","N","V","N","N","N","N","I","-","67","43","11.3","22.3","21.8","17.84","M","G","G","1","2","0","9","3","1","1","9-Oct-09",2009,"","","","",NA,"terra firme","clay","Arci 5","KM 28","","Arcilloso 5","S-LI-R","","BREEDER",-73.43173498,-3.952597268,NA,"1",2009
"1_Arcilloso 7_2009","2033","AR","X","-","-#","SD-5","PHSU","TROCHILIDAE ","Phaetornis","superciliosus","Phaetornis superciliosus",NA,"-","D","-","","1","N","N","N","I","N","N","I","-","58","69","33.9","39.2","-","6","M","G","G","-","-","0","8","0","9","1","21-Dec-09",2009,"","","","",NA,"terra firme","clay","Maderables_2","KM 28","","Arcilloso 7","S-NI-F","","",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arcilloso 7_2009","2036","AR","N","A00033","A00033#","","MYAX","THAMNOPHILIDAE ","Myrmotherula","axillaris","Myrmotherula axillaris",NA,"-","M","P","","2","N","N","N","L","A","I","I","C","58","38","8.5","15.7","15.7","7.88","M","Gc","Gc","1","2","0","8","1","8","1","21-Dec-09",2009,"2 en cloaca","CLOACA","","",NA,"terra firme","clay","Maderables_2","KM 28","","Arcilloso 7","U-SI-F","","",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arcilloso 7_2009","2103","AR","N","A00042","A00042#","NDC","MIOL","TYRANNIDAE ","Mionectes","oleagineus","Mionectes oleagineus",NA,"-","D","-","","2","N","N","I","N","N","L","I","-","61","49","7.2","15","13","10","M","G","G","-","2","-","-","-","-","1","28-Dec-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 4_2","","","Arcilloso 7","S-SO-F","","",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arcilloso 7_2009","2060","PS","N","A00036","A00036#","","MIOL","TYRANNIDAE ","Mionectes","oleagineus","Mionectes oleagineus",NA,"-","D","-","","3","N","A","I","N","N","N","L","-","57","40","7.4","15.1","14.1","9.96","M","G","G","1","1","0","7","5","7","1","22-Dec-09",2009,"","","","",NA,"terra firme","clay","Maderables_2","KM 28","","Arcilloso 7","S-SO-F","","",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arcilloso 7_2009","2074","PS","R","J00011","J00011#","#NAME?","TUAL","TURDIDAE ","Turdus","albicollis","Turdus albicollis",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","22-Dec-09",2009,"","","","Ver 2048",NA,"terra firme","clay","Maderables_2","KM 28","","Arcilloso 7","S-LO-F","","",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arcilloso 7_2009","2038","PS","N","E00028","E00028#","","PELE","THAMNOPHILIDAE ","Percnostola","leucostigma","Percnostola leucostigma",NA,"-","H","P","","3","N","P","I","L","N","M","I","-","64","51","11.8","23.5","24.2","23.75","G","G","G","1","2","-","-","-","-","1","21-Dec-09",2009,"1 (1) cola, boro en cabeza","","","",NA,"terra firme","clay","Maderables_2","KM 28","","Arcilloso 7","S-LI-F","","",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arcilloso 7_2009","2058","GF","P","-","-#","","SYRU","FURNARIIDAE ","Synallaxis","rutilans","Synallaxis rutilans",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","22-Dec-09",2009,"","","","Escapo",NA,"terra firme","clay","Maderables_2","KM 28","","Arcilloso 7","S-SI-F","","",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arcilloso 7_2009","2153","SC","N","A00052","A00052#","NNC","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata",NA,"B","D","-","","2","N","N","F","A","N","N","I","-","56","28","6.3","13.6","14.8","8","M","G","G","1","-","0","9","2","7","1","30-Dec-09",2009,"","","","POOP",NA,"terra firme","clay","Arcilloso 4_2","","","Arcilloso 7","S-FR-F","","MOLTER",-73.42502209,-3.963723807,143.8419189,"1",2009
"1_Arilloso 6_2009","V1491","PS","N","L","L#","N-LC","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata","","","","","","3","N","N","I","N","N","N","L","L","62","28","-","-","13.4","-","-","-","-","1","-","-","-","-","-","1","12-Oct-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 6","KM 28","","Arilloso 6","S-FR-F","","QUIESCENT",-73.43187601,-3.954216323,NA,"1",2009
"1_Arilloso 6_2009","V1536","PS","N","L","L#","#NAME?","MYME","THAMNOPHILIDAE ","Myrmotherula","menestriesii","Myrmotherula menestriesii","","","","","","4","N","P","A","L","N","N","I","-","52","28","8.8","16.4","15.1","9.55","M","G","G","1","-","1","4","1","3","1","13-Oct-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 6","KM 28","","Arilloso 6","S-SI-F","","",-73.43187601,-3.954216323,NA,"1",2009
"1_Culo_2011","5349","ES","N","A00804","A00804#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","-","D","-","","3","N","N","I","I","N","N","L","-","72","76","8.4","14.9","15.9","14.62","Mo","G","G D","1","1","0","9","1","3","1","22-Sep-11",2011,"","","","",NA,"varillal seco","wsf","Culo","Nueva Esperanza","large","Culo","S-SI-B","","",-73.47394282,-3.897686228,121.2510986,"1",2011
"1_Culo_2011","5303","AdH","N","E00641","E00641#","-","PYAL","THAMNOPHILIDAE ","Pithys","albifrons","Pithys albifrons","J","P","D","-","","2","N","N","N","L","A","I","I","-","68.41","41","12","19.8","20.4","18.97","Mo","Go","J","1","1","0","6","5","9","1","21-Sep-11",2011,"","","","",NA,"varillal seco","wsf","Culo","Nueva Esperanza","large","Culo","S-LI-R","","",-73.47394282,-3.897686228,121.2510986,"1",2011
"1_Culo_2011","5340","CA","N","A00792","A00792#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","-","D","-","","3","N","N","N","I","N","N","I","-","68","73","9.1","16.1","16.9","17.8","Mo","Go","G","-","-","1","6","2","6","1","21-Sep-11",2011,"","","","",NA,"varillal seco","wsf","Culo","Nueva Esperanza","large","Culo","S-SI-B","","",-73.47394282,-3.897686228,121.2510986,"1",2011
"1_Culo_2011","5350","BC","N","E00650","E00650#","-","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"-","M","P","","3","N","N","I","A","S","N","M","-","65","43","10.7","20.7","22.7","18.6","Mo","G","G","1","1","0","9","1","1","1","22-Sep-11",2011,"","","","male coming out of juvenal plumage?",NA,"varillal seco","wsf","Culo","Nueva Esperanza","large","Culo","S-LI-R","","MOLTER",-73.47394282,-3.897686228,121.2510986,"1",2011
