"Net","Regist","anillador","Codigo","No_anillo","No_anillo.","Anillo.color","Codigo.especie","FAMILY","Genus","species","spp","Edad","Codigo.fechado","SEXO..M.H.D.","Codigo.Sexado","SEX.MOLEC","MUSCULO","PROCLO","PARINC","GRASA","MUDA.CORP","MUDA.VUEL","MUDA.COLA","DESG.VUEL","PLUMJUV","ALA","COLA","CULMEN","APERTURA","TARSO","PESO","COJO","CPIEL","CPATAS","ECTOPARASITO","SANGRE","H1","H2","H3","H4","RED","FECHA","Year.x","ECTO.ROJO","Dondectos","Cuantosectos","OBSERVACIONES","CREST","Specific.Habitat","general.habitat","Field.Site","REGION","PATCH.SIZE","Netline","Foragero","SAMPLE.NUMBER","Categories","lon","lat","ele","Net.number","Year.y"
"13_San Mar 2_2010","3691","LS","N","A00275","A00275#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","-","D","-","","4","N","N","N","N","N","N","M","N","75","66","11.9","17.5","15.4","13.71","M","Go","G","2","-","1","0","3","6","13","23-Oct-10",2010,"","","","T1024",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-SI-B","","QUIESCENT",-73.44305249,-3.89055281,123.4139404,"13",2010
"13_San Mar 2_2010","3701","MW","N","J00102","J00102#","NNN","GYLE","THAMNOPHILIDAE ","Gymnopithys","leucaspis","Gymnopithys leucaspis","A","-","H","P","","3","N","N","N","N","N","N","I","N","72","45","11.5","0.6","8","20.94","RO","G","G","1","1","1","3","0","6","13","23-Oct-10",2010,"","","","T1304",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-LI-R","","QUIESCENT",-73.44305249,-3.89055281,123.4139404,"13",2010
"13_San Mar 2_2010","3704","LS","N","E00264","E00264#","CRB","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus","A","P","H","P","","3","N","V","N","N","A","I","M","N","65","45","11","20.2","23","17.82","M","Go","G","1","1","1","3","3","5","13","23-Oct-10",2010,"CHIGGERS CLOACA","CLOACA","2(4,2)","cloaca 2(4,2). T1332",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-LI-R","","BREEDER",-73.44305249,-3.89055281,123.4139404,"13",2010
"13_San Mar 2_2012","2SM57","JU","N","C0390","C0390#","BC-","MYHX","THAMNOPHILIDAE ","Myrmotherula","hauxwelli","Myrmotherula hauxwelli","A","P","H","P","","3","N","N","N","N","N","N","M","N","50","26","9.5","16.4","19","11.55","Mo","Gc","G","1","2","0","8","5","9","13","8-Oct-12",2012,"","","","",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-SI-F","","QUIESCENT",-73.44305249,-3.89055281,123.4139404,"13",2012
"13_San Mar 2_2012","2SM49","SPC","N","T00109","T00109#","-","GEMO","COLUMBIDAE","Geotrygon","montana","Geotrygon montana","A","P","M","P","","3","N","N","N","L","N","M","L","-","133","82","7.7","19.9","26.9","100+","JM","R","RD","1","-","0","7","3","8","13","8-Oct-12",2012,"","","","",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","G-FR-G","","",-73.44305249,-3.89055281,123.4139404,"13",2012
"13_San Mar 2_2012","2SM02","EB","N","C0375","C0375#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","B","D","-","","3","N","N","N","L","N","N","I","-","67","60","8","14.3","17","12.99","Mo","G","GD","1","1","0","7","3","6","13","6-Oct-12",2012,"","","","",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-SI-B","","",-73.44305249,-3.89055281,123.4139404,"13",2012
"13_San Mar 2_2012","2SM12","SPC","N","C0379","C0379#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","D","-","D","-","","3","N","M","N","M","N","N","I","-","67","69","9.5","16.8","15.4","12.87","Mo","G","GD","1","2","0","9","0","0","13","6-Oct-12",2012,"","","","",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-SI-B","","",-73.44305249,-3.89055281,123.4139404,"13",2012
"13_San Mar 2_2012","2SM03","SPC","N","C0374","C0374#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","D","-","D","-","","4","N","N","N","I","N","N","L","-","67","64","9.9","15.9","16.8","13.45","Mo","G","GD","1","1","0","7","3","5","13","6-Oct-12",2012,"","","","",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-SI-B","","",-73.44305249,-3.89055281,123.4139404,"13",2012
"13_San Mar 2_2012","2SM18","EB","R","C0377","C0377#","AB-","EPHA","THAMNOPHILIDAE ","Epinecrophylla","haematonota","Epinecrophylla haematonota",NA,"-",NA,"-","","3","N","N","N","I","S","M","M","-","49","44","8.1","16.1","16.3","8.76","McG","Go","G","1","1","1","0","0","2","13","6-Oct-12",2012,"CHIGGERS CLOACA","","","POOP",NA,"varillal humedo","wsf","San Mar 2","San Martin","medium","San Mar 2","S-SI-D","","MOLTER",-73.44305249,-3.89055281,123.4139404,"13",2012
"13_SMTF_2011","6296","JKM","N","T00028","T00028#","-","MOMF","BUCCONIDAE ","Monasa","morphoeus","Monasa morphoeus","J","P","D","-","","3","N","N","N","A","S","N","L","-","118","109","21.9","32.2","18.7","69.43","Mo","N","N","1","-","1","2","1","4","13","30-Oct-11",2011,"","BREAST","","Poop sample, Izangos en pecho",NA,"terra firme","clay","SMTF","San Martin","","SMTF","C-LI-A","","MOLTER",-73.45568326,-3.885976877,133.7480469,"13",2011
"13_SMTF_2011","6284","AdH","N","A00861","A00861#","-","MIOL","TYRANNIDAE ","Mionectes","oleagineus","Mionectes oleagineus","D","-","D","-","","3","N","N","I","N","N","N","I","-","56","43","8.9","16.4","15.6","11.32","Mo","G","GD","1","1","0","8","2","0","13","30-Oct-11",2011,"","","","",NA,"terra firme","clay","SMTF","San Martin","","SMTF","S-SO-F","","QUIESCENT",-73.45568326,-3.885976877,133.7480469,"13",2011
"13_SMTF_2011","6255","AB","N","J00547","J00547#","N-AR","XIEL","DENDROCOLAPTIDAE","Xiphorhynchus","elegans","Xiphorhynchus elegans","D","-","D","-","","4","N","V","N","I","N","I","L","-","97","86","26.4","37","20.8","34.82","Mo","GA","G","1","1","0","9","5","7","13","29-Oct-11",2011,"","EYE, NARE, CLOACA","","Chiggers around the eye,nares, cloaca, 3gr",NA,"terra firme","clay","SMTF","San Martin","","SMTF","U-SI-B","","BREEDER",-73.45568326,-3.885976877,133.7480469,"13",2011
"13_SMTF_2011","6295","JKM","N","T00027","T00027#","-","MOMF","BUCCONIDAE ","Monasa","morphoeus","Monasa morphoeus","A","P","D","-","","2","N","N","N","N","N","N","M","-","124","112","26.8","38.9","19.8","71.76","Mo","N","N","1","1","1","2","0","3","13","30-Oct-11",2011,"","FURCULA","","Izangos en furcula",NA,"terra firme","clay","SMTF","San Martin","","SMTF","C-LI-A","","QUIESCENT",-73.45568326,-3.885976877,133.7480469,"13",2011
"13_SMTF_2011","6241","AB","N","E00886","E00886#","#NAME?","MIMA","TROGLODYTIDAE ","Microcerculus","marginatus","Microcerculus marginatus","D","-","D","-","","2","P","N","N","N","N","N","I","-","58","28","13.9","22","22.3","17.46","Mo","Gc","Gc","1","1","0","8","1","4","13","29-Oct-11",2011,"","","","",NA,"terra firme","clay","SMTF","San Martin","","SMTF","G-SI-G","","",-73.45568326,-3.885976877,133.7480469,"13",2011
"13_SMTF_2011","6294","BC","N","T00026","T00026#","-","MOMF","BUCCONIDAE ","Monasa","morphoeus","Monasa morphoeus","A","P","D","-","","5","N","N","I","A","A","M","L","-","123","-","-","41","22.8","85.81","Mo","N","N","1","1","1","1","5","2","13","30-Oct-11",2011,"","","","",NA,"terra firme","clay","SMTF","San Martin","","SMTF","C-LI-A","","MOLTER",-73.45568326,-3.885976877,133.7480469,"13",2011
"13_SMTF_2011","6251","SS","N","C0111","C0111#","-","MARE","PIPRIDAE","Machaeropterus","regulus","Machaeropterus regulus","D","-","D","-","","3","N","N","N","N","N","N","L","-","49","20","6.3","11.6","13.1","10.66","M","G","MG","1","-","0","9","2","2","13","29-Oct-11",2011,"","","","",NA,"terra firme","clay","SMTF","San Martin","","SMTF","S-FR-F","","QUIESCENT",-73.45568326,-3.885976877,133.7480469,"13",2011
